id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
160,2020-10-29 18:43:30.748367,,,,,,f,,{},3T3IWE1XG8US8I17PT7C3RNZKZCQTK,AssignmentAccepted
161,2020-10-29 18:43:31.053603,,,,,,f,,{},3XIQGXAUMEFPJH5CY4Z3S3RAS587XM,AssignmentAccepted
162,2020-10-29 18:43:31.191538,,,,,,f,,{},3XIQGXAUMEFPJH5CY4Z3S3RAS587XM,AssignmentReturned
163,2020-10-29 18:44:00.135439,,,,,,f,,{},3EA3QWIZ4K2FRKDOCL23UPWDTPVIT9,AssignmentReturned
164,2020-10-29 18:44:00.160952,,,,,,f,,{},3E337GFOLBF30G29P1GO0ED5PUHNGL,AssignmentReturned
165,2020-10-29 18:44:03.731688,,,,,,f,,{},3EA3QWIZ4K2FRKDOCL23UPWDTPVIT9,AssignmentAccepted
166,2020-10-29 18:44:03.747825,,,,,,f,,{},3E337GFOLBF30G29P1GO0ED5PUHNGL,AssignmentAccepted
167,2020-10-29 18:44:16.14466,,,,,,f,,{},3B3WTRP3DD9SWKQ8PCCUG9OKAMV29I,AssignmentReturned
168,2020-10-29 18:44:16.16384,,,,,,f,,{},3A7Y0R2P2QVI3C6EZDO0VTWJJ08JX5,AssignmentReturned
169,2020-10-29 18:44:16.173893,,,,,,f,,{},3A7Y0R2P2QVI3C6EZDO0VTWJJ08JX5,AssignmentAccepted
170,2020-10-29 18:44:25.410331,,,,,,f,,{},3B3WTRP3DD9SWKQ8PCCUG9OKAMV29I,AssignmentAccepted
171,2020-10-29 18:45:00.972672,,,,,,f,,{},34MAJL3QP6UGKWGFCHU8IBIWU8I34Z,AssignmentReturned
172,2020-10-29 18:45:05.674787,,,,,,f,,{},34MAJL3QP6UGKWGFCHU8IBIWU8I34Z,AssignmentAccepted
173,2020-10-29 18:45:46.23161,,,,,,f,,{},3N2BF7Y2VS1BIUCKX6J68Z06Z4KHME,AssignmentSubmitted
174,2020-10-29 18:45:50.972411,,,,,,f,,{},3YHH42UU5DMG1CO3ZMB62UM0DISL0E,AssignmentReturned
175,2020-10-29 18:45:54.075904,,,,,,f,,{},36DSNE9QZ75V93SMYM14CG5Q7W3JO0,AssignmentSubmitted
176,2020-10-29 18:46:00.522642,,,,,,f,,{},3YHH42UU5DMG1CO3ZMB62UM0DISL0E,AssignmentAccepted
177,2020-10-29 18:46:26.792749,,,,,,f,,{},3RJSC4XJ1212ZNLI7ZVZL5Q3RSS50A,AssignmentSubmitted
178,2020-10-29 18:46:28.204494,,,,,,f,,{},3HUTX6F6VWUV37UER1VCDZJ95LHO2I,AssignmentReturned
179,2020-10-29 18:46:36.924251,,,,,,f,,{},3HL8HNGX478CXE2KD7R10SI9JQ0F9F,AssignmentReturned
180,2020-10-29 18:46:36.982568,,,,,,f,,{},3HL8HNGX478CXE2KD7R10SI9JQ0F9F,AssignmentAccepted
182,2020-10-29 18:46:49.768836,,,,,,f,,{},3QY7M81QH9TJZH65ZLKE29J8WWT7KX,AssignmentAccepted
184,2020-10-29 18:47:16.682463,,,,,,f,,{},3IFS6Q0HJKQECK09NLXDKK0RR6HSIU,AssignmentReturned
187,2020-10-29 18:48:08.691603,,,,,,f,,{},3V0Z7YWSI07QTR3BSDHQ8RDH1EFV2S,AssignmentAccepted
190,2020-10-29 18:48:08.756274,,,,,,f,,{},3FE7TXL1LKUYOJ7U6ENG24E9KM0Q2T,AssignmentAccepted
192,2020-10-29 18:48:08.787135,,,,,,f,,{},3FQ5JJ512NV822YSFS13Y65YWBZKNM,AssignmentAccepted
195,2020-10-29 18:48:09.027138,,,,,,f,,{},378XPAWRUEKACOEF6LBMZK6L50BIAP,AssignmentAccepted
197,2020-10-29 18:48:09.085863,,,,,,f,,{},3GNA64GUZGBQNGQHOXPE0BHL4WRQ5U,AssignmentAccepted
200,2020-10-29 18:48:11.751796,,,,,,f,,{},31IBVUNM9U6AULFNG8WXSA76AIKFVW,AssignmentAccepted
203,2020-10-29 18:48:15.182972,,,,,,f,,{},3KRVW3HTZPS083Q080V5CD788F2SMB,AssignmentAccepted
205,2020-10-29 18:48:15.215077,,,,,,f,,{},3EF8EXOTT32ADBLLSK3T0KSIELUJ1E,AssignmentAccepted
208,2020-10-29 18:48:15.261946,,,,,,f,,{},3BXQMRHWK15GNGI4X5Q5REPWTCNMUL,AssignmentAccepted
210,2020-10-29 18:48:15.306798,,,,,,f,,{},32UTUBMZ7I3KH437B6A19KGLVKSVBU,AssignmentAccepted
212,2020-10-29 18:48:17.748045,,,,,,f,,{},3DUZQ9U6SOVJYQK9MSWWZ9QLZ8ESVS,AssignmentAccepted
215,2020-10-29 18:48:17.790011,,,,,,f,,{},3GU1KF0O4K87CK6BPU123SR39WRPB3,AssignmentAccepted
217,2020-10-29 18:48:20.983979,,,,,,f,,{},3MAOD8E57SHEM2XZEBGSO0D0SKENXE,AssignmentAccepted
220,2020-10-29 18:48:21.052019,,,,,,f,,{},3YMTUJH0DUNLJDE9RW0Z0OMUO7VT46,AssignmentAccepted
222,2020-10-29 18:48:21.098846,,,,,,f,,{},36U2A8VAG362E126MUAEFM350V3KYC,AssignmentAccepted
224,2020-10-29 18:48:22.525183,,,,,,f,,{},3OCHAWUVGQRDEWCWHYOCW8WWYP9KX6,AssignmentAccepted
226,2020-10-29 18:48:24.719084,,,,,,f,,{},3FFJ6VRIL3VEBBGXEJETAEU8WE00IH,AssignmentAccepted
228,2020-10-29 18:48:24.77875,,,,,,f,,{},3KAKFY4PGW9AS3FUX6WCCCSFZQK3IF,AssignmentAccepted
230,2020-10-29 18:48:30.105153,,,,,,f,,{},388U7OUMF98R4AJG4682O6VZJAJ0RL,AssignmentAccepted
232,2020-10-29 18:48:30.142421,,,,,,f,,{},3TR2532VIR15KXMIYQFAVGJZMWB6J0,AssignmentAccepted
234,2020-10-29 18:48:30.17267,,,,,,f,,{},3U0SRXB7CFCUP6BN5CA0ZIRCR3TRNM,AssignmentAccepted
236,2020-10-29 18:48:30.41844,,,,,,f,,{},36U2A8VAG362E126MUAEFM350V3YKQ,AssignmentAccepted
