id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
1888,2020-10-29 19:01:15.982328,,,,,,t,2020-10-29 19:13:12.35822,{},223,237,16
2817,2020-10-29 19:22:06.91378,,,,,,t,2020-10-29 19:32:24.05368,{},324,313,24
2818,2020-10-29 19:22:06.923496,,,,,,t,2020-10-29 19:32:24.063644,{},313,324,24
2547,2020-10-29 19:13:14.325838,,,,,,f,,{},43,298,22
2548,2020-10-29 19:13:14.337603,,,,,,f,,{},44,298,22
2545,2020-10-29 19:13:14.300696,,,,,,t,2020-10-29 19:14:07.369223,{},298,294,22
2546,2020-10-29 19:13:14.312812,,,,,,t,2020-10-29 19:14:07.376365,{},294,298,22
2551,2020-10-29 19:13:14.373592,,,,,,t,2020-10-29 19:15:37.550037,{},298,297,22
2552,2020-10-29 19:13:14.383235,,,,,,t,2020-10-29 19:15:37.556239,{},297,298,22
2635,2020-10-29 19:14:45.715911,,,,,,t,2020-10-29 19:15:37.563825,{},306,297,22
2636,2020-10-29 19:14:45.731764,,,,,,t,2020-10-29 19:15:37.570231,{},297,306,22
2625,2020-10-29 19:14:45.546957,,,,,,t,2020-10-29 19:16:23.350734,{},306,302,22
2626,2020-10-29 19:14:45.560187,,,,,,t,2020-10-29 19:16:23.361075,{},302,306,22
2639,2020-10-29 19:14:45.77089,,,,,,t,2020-10-29 19:17:14.199625,{},306,301,22
2640,2020-10-29 19:14:45.783703,,,,,,t,2020-10-29 19:17:14.20642,{},301,306,22
2627,2020-10-29 19:14:45.579257,,,,,,t,2020-10-29 19:18:41.874596,{},306,298,22
2628,2020-10-29 19:14:45.595742,,,,,,t,2020-10-29 19:18:41.880774,{},298,306,22
2629,2020-10-29 19:14:45.609869,,,,,,t,2020-10-29 19:18:41.887278,{},43,306,22
2630,2020-10-29 19:14:45.629915,,,,,,t,2020-10-29 19:18:41.893834,{},44,306,22
2631,2020-10-29 19:14:45.646427,,,,,,t,2020-10-29 19:18:41.920195,{},306,305,22
2632,2020-10-29 19:14:45.659623,,,,,,t,2020-10-29 19:18:41.926296,{},305,306,22
2633,2020-10-29 19:14:45.676419,,,,,,t,2020-10-29 19:18:41.936509,{},306,296,22
2634,2020-10-29 19:14:45.696878,,,,,,t,2020-10-29 19:18:41.950328,{},296,306,22
2637,2020-10-29 19:14:45.744785,,,,,,t,2020-10-29 19:18:41.959933,{},306,300,22
2638,2020-10-29 19:14:45.758522,,,,,,t,2020-10-29 19:18:41.968452,{},300,306,22
2693,2020-10-29 19:17:16.10439,,,,,,t,2020-10-29 19:19:34.150392,{},311,310,24
2694,2020-10-29 19:17:16.113206,,,,,,t,2020-10-29 19:19:34.156522,{},310,311,24
2549,2020-10-29 19:13:14.349969,,,,,,t,2020-10-29 19:19:54.081538,{},298,296,22
2550,2020-10-29 19:13:14.361777,,,,,,t,2020-10-29 19:19:54.08767,{},296,298,22
2695,2020-10-29 19:17:16.124864,,,,,,t,2020-10-29 19:19:57.080087,{},47,311,24
2696,2020-10-29 19:17:16.134483,,,,,,t,2020-10-29 19:19:57.085631,{},48,311,24
2739,2020-10-29 19:19:35.023342,,,,,,t,2020-10-29 19:21:33.939317,{},315,314,25
2740,2020-10-29 19:19:35.027888,,,,,,t,2020-10-29 19:21:33.946984,{},314,315,25
2741,2020-10-29 19:19:35.032635,,,,,,t,2020-10-29 19:21:36.992735,{},315,303,25
2742,2020-10-29 19:19:35.038884,,,,,,t,2020-10-29 19:21:36.997999,{},303,315,25
2743,2020-10-29 19:19:35.045116,,,,,,t,2020-10-29 19:21:37.075735,{},315,299,25
2744,2020-10-29 19:19:35.053359,,,,,,t,2020-10-29 19:21:37.081742,{},299,315,25
2805,2020-10-29 19:22:06.698526,,,,,,f,,{},323,313,24
2806,2020-10-29 19:22:06.708143,,,,,,f,,{},313,323,24
2807,2020-10-29 19:22:06.718054,,,,,,f,,{},47,323,24
2808,2020-10-29 19:22:06.730475,,,,,,f,,{},48,323,24
2809,2020-10-29 19:22:06.741067,,,,,,f,,{},323,316,24
2810,2020-10-29 19:22:06.750263,,,,,,f,,{},316,323,24
2813,2020-10-29 19:22:06.778111,,,,,,f,,{},323,320,24
2814,2020-10-29 19:22:06.795299,,,,,,f,,{},320,323,24
2792,2020-10-29 19:21:35.761107,,,,,,t,2020-10-29 19:24:48.318689,{},318,320,24
2811,2020-10-29 19:22:06.759226,,,,,,t,2020-10-29 19:24:48.326077,{},323,318,24
2815,2020-10-29 19:22:06.804123,,,,,,t,2020-10-29 19:25:39.240369,{},323,321,24
2816,2020-10-29 19:22:06.81567,,,,,,t,2020-10-29 19:25:39.24625,{},321,323,24
2737,2020-10-29 19:19:35.013906,,,,,,t,2020-10-29 19:25:48.110403,{},315,295,25
2738,2020-10-29 19:19:35.018528,,,,,,t,2020-10-29 19:25:48.11521,{},295,315,25
1962,2020-10-29 19:02:15.242634,,,,,,t,2020-10-29 19:06:16.714125,{},241,243,19
1963,2020-10-29 19:02:15.257148,,,,,,t,2020-10-29 19:06:16.721916,{},243,239,19
1964,2020-10-29 19:02:15.267305,,,,,,t,2020-10-29 19:06:16.729924,{},239,243,19
1993,2020-10-29 19:02:43.000064,,,,,,t,2020-10-29 19:06:16.794778,{},247,243,19
1994,2020-10-29 19:02:43.014012,,,,,,t,2020-10-29 19:06:16.80215,{},243,247,19
2001,2020-10-29 19:02:50.207567,,,,,,t,2020-10-29 19:06:16.812065,{},248,243,19
2002,2020-10-29 19:02:50.218857,,,,,,t,2020-10-29 19:06:16.819047,{},243,248,19
2043,2020-10-29 19:04:45.201891,,,,,,t,2020-10-29 19:06:16.826792,{},252,243,19
2044,2020-10-29 19:04:45.222878,,,,,,t,2020-10-29 19:06:16.833283,{},243,252,19
2061,2020-10-29 19:04:46.86221,,,,,,t,2020-10-29 19:06:16.841459,{},253,243,19
2062,2020-10-29 19:04:46.877636,,,,,,t,2020-10-29 19:06:16.85139,{},243,253,19
2079,2020-10-29 19:04:52.485671,,,,,,t,2020-10-29 19:06:16.862666,{},254,243,19
2080,2020-10-29 19:04:52.496157,,,,,,t,2020-10-29 19:06:16.869045,{},243,254,19
2647,2020-10-29 19:15:16.484175,,,,,,t,2020-10-29 19:34:02.403373,{},307,305,22
2648,2020-10-29 19:15:16.495053,,,,,,t,2020-10-29 19:34:02.45644,{},305,307,22
1206,2020-10-29 18:52:35.143401,,,,,,t,2020-10-29 19:13:34.624003,{},24,176,12
1327,2020-10-29 18:53:49.918369,,,,,,t,2020-10-29 19:13:34.692645,{},186,176,12
1328,2020-10-29 18:53:49.927508,,,,,,t,2020-10-29 19:13:34.725506,{},176,186,12
1364,2020-10-29 18:54:08.187822,,,,,,t,2020-10-29 19:13:34.752557,{},176,190,12
2763,2020-10-29 19:20:58.611728,,,,,,t,2020-10-29 19:36:52.808476,{},317,295,25
2764,2020-10-29 19:20:58.63116,,,,,,t,2020-10-29 19:36:52.81174,{},295,317,25
2529,2020-10-29 19:12:12.077281,,,,,,t,2020-10-29 19:14:07.383923,{},43,294,22
2530,2020-10-29 19:12:12.089823,,,,,,t,2020-10-29 19:14:07.394699,{},44,294,22
2563,2020-10-29 19:13:47.943982,,,,,,t,2020-10-29 19:14:07.403586,{},300,294,22
2564,2020-10-29 19:13:47.952534,,,,,,t,2020-10-29 19:14:07.415736,{},294,300,22
